date,temp,feels_like,pressure,humidity,wind_speed,wind_deg,avg_rain,avg_snow,clouds_all,total_rain,total_snow,temp_min,temp_max,weather_Clear,weather_Clouds,weather_Drizzle,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Snow,weather_Thunderstorm,weather_broken clouds,weather_few clouds,weather_fog,weather_haze,weather_heavy intensity rain,weather_heavy snow,weather_light intensity drizzle,weather_light rain,weather_light rain and snow,weather_light snow,weather_mist,weather_moderate rain,weather_overcast clouds,weather_scattered clouds,weather_sky is clear,weather_snow,weather_thunderstorm,weather_thunderstorm with heavy rain,weather_thunderstorm with light rain,weather_thunderstorm with rain,weather_very heavy rain
2014-09-13,69.2225,68.94875,1020.3333333333334,66.04166666666667,7.242083333333333,144.16666666666666,0.54,0.0,78.54166666666667,2.7,0.0,62.49,66.67,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
2014-09-14,64.8125,63.81166666666667,1024.6666666666667,59.916666666666664,7.578333333333333,245.0,0.0,0.0,42.166666666666664,0.0,0.0,49.89,55.69,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2014-09-15,66.68208333333332,65.87208333333334,1023.125,60.041666666666664,3.7383333333333333,76.66666666666667,0.0,0.0,60.0,0.0,0.0,51.69,58.75,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-09-16,71.73375,71.46958333333333,1017.0833333333334,60.583333333333336,9.6825,261.6666666666667,0.0,0.0,60.833333333333336,0.0,0.0,58.89,65.93,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2014-09-17,68.16291666666667,67.34333333333333,1017.0,56.666666666666664,4.9383333333333335,156.66666666666666,0.0,0.0,40.291666666666664,0.0,0.0,51.69,58.75,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2014-09-18,70.10041666666667,69.575,1015.8333333333334,58.833333333333336,4.36125,112.08333333333333,0.16999999999999998,0.0,59.708333333333336,0.85,0.0,55.29,64.13,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
2014-09-19,68.61625,68.29958333333333,1022.4583333333334,66.41666666666667,6.75875,82.91666666666667,0.0,0.0,43.791666666666664,0.0,0.0,55.29,60.73,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2014-09-20,72.02374999999999,72.03875000000001,1023.8333333333334,65.58333333333333,5.226666666666667,103.33333333333333,0.0,0.0,42.375,0.0,0.0,58.89,64.69,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
2014-09-21,72.93124999999999,73.15875,1012.0416666666666,67.41666666666667,5.417083333333333,144.16666666666666,0.0,0.0,52.791666666666664,0.0,0.0,57.09,64.13,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
2014-09-22,72.60416666666667,71.70208333333333,1012.625,44.041666666666664,13.664583333333333,297.5,0.0,0.0,48.333333333333336,0.0,0.0,60.57,65.93,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2014-09-23,63.0875,61.37875,1025.8333333333333,48.541666666666664,7.289583333333334,208.75,0.0,0.0,60.0,0.0,0.0,46.29,53.71,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2014-09-24,64.90083333333332,64.09,1030.0,63.791666666666664,9.210416666666667,45.833333333333336,0.5766666666666667,0.0,71.91666666666667,1.73,0.0,49.89,58.75,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
2014-09-25,65.13896551724137,65.21931034482758,1025.8275862068965,82.27586206896552,13.807586206896552,124.82758620689656,0.6628000000000001,0.0,90.0,16.57,0.0,60.17,62.56,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
2014-09-26,68.34958333333334,68.05624999999999,1024.0833333333333,67.5,8.633750000000001,145.83333333333334,0.0,0.0,57.958333333333336,0.0,0.0,55.29,61.25,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
2014-09-27,70.3725,69.81750000000001,1023.375,60.625,3.692083333333333,138.33333333333334,0.0,0.0,21.375,0.0,0.0,51.69,60.53,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2014-09-28,70.62958333333334,70.49666666666667,1021.625,64.66666666666667,2.6375,65.0,0.0,0.0,51.291666666666664,0.0,0.0,53.49,62.33,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2014-09-29,69.46833333333333,69.64416666666666,1016.5416666666666,75.125,4.215833333333333,152.5,0.0,0.0,80.04166666666667,0.0,0.0,60.69,64.69,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2014-09-30,70.24374999999999,70.54083333333334,1013.375,76.0,5.41875,154.16666666666666,0.0,0.0,74.58333333333333,0.0,0.0,65.75,66.67,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
2014-10-01,70.00166666666667,70.19,1015.5833333333334,74.16666666666667,6.18375,72.91666666666667,0.4,0.0,75.41666666666667,0.8,0.0,62.49,65.93,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2014-10-02,68.59083333333334,68.56291666666667,1019.2083333333334,72.625,3.3575,40.0,0.0,0.0,56.458333333333336,0.0,0.0,55.29,62.71,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
2014-10-03,67.82791666666667,67.79541666666667,1016.875,74.16666666666667,6.4725,128.75,0.43,0.0,74.79166666666667,0.43,0.0,58.89,64.13,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2014-10-04,68.09958333333334,67.65708333333333,1005.0833333333334,64.83333333333333,12.082500000000001,256.6666666666667,0.736,0.0,77.29166666666667,7.36,0.0,55.29,58.75,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
2014-10-05,54.51958333333334,52.249583333333334,1012.25,46.875,7.479583333333334,204.16666666666666,0.0,0.0,18.75,0.0,0.0,37.29,44.33,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2014-10-06,60.68333333333334,58.999583333333334,1015.5833333333334,55.125,9.641250000000001,179.16666666666666,0.0,0.0,28.791666666666668,0.0,0.0,40.89,49.75,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2014-10-07,67.17583333333333,66.30541666666666,1016.3333333333334,57.75,11.895000000000001,192.08333333333334,0.26,0.0,80.66666666666667,1.04,0.0,60.53,62.55,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
2014-10-08,68.4996,68.0708,1012.76,64.32,9.895199999999999,229.2,0.27666666666666667,0.0,57.0,1.66,0.0,53.49,60.53,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
2014-10-09,65.98333333333333,64.46124999999999,1018.2083333333334,46.375,7.095833333333334,220.41666666666666,0.0,0.0,41.541666666666664,0.0,0.0,46.35,55.69,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
2014-10-10,63.59583333333333,62.41083333333333,1019.25,58.666666666666664,6.760833333333333,137.5,0.66125,0.0,88.75,5.29,0.0,58.37,60.73,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2014-10-11,56.91846153846154,56.197307692307696,1017.9615384615385,82.73076923076923,8.632307692307693,63.46153846153846,1.3542857142857143,0.0,90.0,18.96,0.0,51.69,55.13,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
